x[m],y[m],z[m],t[s]
34.132022,21.233835,59.118396,3.540000
34.228440,21.115512,59.285398,3.550000
34.324858,20.996208,59.452399,3.560000
34.421276,20.875924,59.619400,3.570000
34.517695,20.754660,59.786401,3.580000
34.614113,20.632414,59.953402,3.590000
34.710531,20.509188,60.120403,3.600000
34.806949,20.384981,60.287404,3.610000
34.903367,20.259794,60.454405,3.620000
34.999785,20.133626,60.621406,3.630000
35.096203,20.006477,60.788408,3.640000
35.192622,19.878348,60.955409,3.650000
35.289040,19.749238,61.122410,3.660000
35.385458,19.619147,61.289411,3.670000
35.481876,19.488076,61.456412,3.680000
35.578294,19.356024,61.623413,3.690000
35.674712,19.222991,61.790414,3.700000
35.771130,19.088978,61.957415,3.710000
35.867549,18.953983,62.124417,3.720000
35.963967,18.818009,62.291418,3.730000
36.060385,18.681053,62.458419,3.740000
36.156803,18.543117,62.625420,3.750000
36.253221,18.404201,62.792421,3.760000
36.349639,18.264303,62.959422,3.770000
36.446057,18.123425,63.126423,3.780000
36.542476,17.981567,63.293424,3.790000
36.638894,17.838727,63.460426,3.800000
36.735312,17.694907,63.627427,3.810000
36.831730,17.550106,63.794428,3.820000
36.928148,17.404325,63.961429,3.830000
37.024566,17.257563,64.128430,3.840000
37.120984,17.109820,64.295431,3.850000
37.217403,16.961097,64.462432,3.860000
37.313821,16.811393,64.629433,3.870000
37.410239,16.660708,64.796434,3.880000
37.506657,16.509043,64.963436,3.890000
37.603075,16.356397,65.130437,3.900000
37.699493,16.202770,65.297438,3.910000
37.795911,16.048163,65.464439,3.920000
37.892330,15.892575,65.631440,3.930000
37.988748,15.736006,65.798441,3.940000
38.085166,15.578457,65.965442,3.950000
38.181584,15.419927,66.132443,3.960000
38.278002,15.260416,66.299445,3.970000
38.374420,15.099925,66.466446,3.980000
38.470838,14.938453,66.633447,3.990000
38.567257,14.776000,66.800448,4.000000
38.663675,14.612567,66.967449,4.010000
38.760093,14.448153,67.134450,4.020000
38.856511,14.282758,67.301451,4.030000
38.952929,14.116383,67.468452,4.040000
39.049347,13.949027,67.635454,4.050000
39.145765,13.780690,67.802455,4.060000
39.242184,13.611373,67.969456,4.070000
39.338602,13.441075,68.136457,4.080000
39.435020,13.269796,68.303458,4.090000
39.531438,13.097537,68.470459,4.100000
39.627856,12.924297,68.637460,4.110000
39.724274,12.750076,68.804461,4.120000
39.820692,12.574875,68.971462,4.130000
39.917111,12.398693,69.138464,4.140000
40.013529,12.221530,69.305465,4.150000
40.109947,12.043387,69.472466,4.160000
40.206365,11.864263,69.639467,4.170000
40.302783,11.684158,69.806468,4.180000
40.399201,11.503073,69.973469,4.190000
40.495619,11.321007,70.140470,4.200000
40.592038,11.137961,70.307471,4.210000
40.688456,10.953933,70.474473,4.220000
40.784874,10.768925,70.641474,4.230000
40.881292,10.582937,70.808475,4.240000
40.977710,10.395967,70.975476,4.250000
41.074128,10.208017,71.142477,4.260000
41.170546,10.019087,71.309478,4.270000
41.266965,9.829176,71.476479,4.280000
41.363383,9.638284,71.643480,4.290000
41.459801,9.446411,71.810482,4.300000
41.556219,9.253558,71.977483,4.310000
41.652637,9.059724,72.144484,4.320000
41.749055,8.864909,72.311485,4.330000
41.845473,8.669114,72.478486,4.340000
41.941892,8.472338,72.645487,4.350000
42.038310,8.274581,72.812488,4.360000
42.134728,8.075844,72.979489,4.370000
42.231146,7.876126,73.146490,4.380000
42.327564,7.675427,73.313492,4.390000
42.423982,7.473748,73.480493,4.400000
42.520400,7.271088,73.647494,4.410000
